"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Per Lennart";"Aae";1940;"NPD";158;;;
"Sebastian Tobias";"Abele";1987;"SPD";;"Bayern";50;
"Roya";"Abolhassanzadeh Talischi";1959;"DIE LINKE";;"Nordrhein-Westfalen";30;
"Klaus";"Acker";1958;"NPD";;"Rheinland-Pfalz";10;
"Reinmund";"Acker";1949;;216;;;
"Jens";"Ackermann";1975;"FDP";68;"Sachsen-Anhalt";2;
"Dr. Lothar Matthias";"Ackermann";1953;"FDP";;"Rheinland-Pfalz";31;
"Michael";"Adam";1984;"SPD";231;"Bayern";43;
"Beate";"Adler";1960;"GRÜNE";30;"Niedersachsen";11;
"Michael Harald";"Adomeit";1957;;15;;;
"Manfred August";"Aengenvoort";1944;"NPD";;"Nordrhein-Westfalen";15;
"Werner";"Ahlers";1939;"VIOLETTEN";;"Bayern";13;
"Jonas";"Ahlgrimm";1986;"DIE LINKE";174;;;
"Kornelia";"Ahr-Wiehe";1964;"FDP";;"Hessen";38;
"Christian";"Ahrendt";1963;"FDP";13;"Mecklenburg-Vorpommern";1;
"Dirk";"Ahrens";1977;"PIRATEN";;"Rheinland-Pfalz";3;
"Alois";"Aigner";1962;"ödp";230;"Bayern";33;
"Ilse";"Aigner";1964;"CSU";224;"Bayern";4;
"Pasquale";"Aita";1974;;184;;;
"Jan";"Aken van";1961;"DIE LINKE";;"Hamburg";1;
"Dr. Lale";"Akgün";1953;"SPD";95;"Nordrhein-Westfalen";29;
"Stefan";"Albanesi";1972;"DIE LINKE";256;;;
"Sönke";"Albertsen";1960;;2;;;
"Frank";"Albrecht";1967;"FDP";116;"Nordrhein-Westfalen";43;
"Klaus";"Albrecht";1948;"DIE LINKE";168;;;
"Richard Hermann";"Albrecht";1963;"BüSo";;"Bayern";14;
"Wilfried";"Aldag";1952;"NPD";43;;;
"Michael";"Allenstein";1963;"DVU";;"Hessen";3;
"Agnes";"Alpers";1961;"DIE LINKE";;"Bremen";1;
"Peter";"Altmaier";1958;"CDU";297;"Saarland";1;
"Fernande";"Altmayer";1961;"FDP";;"Saarland";7;
"Gregor";"Amann";1962;"SPD";182;"Hessen";13;
"Gerhard";"Ambrosius";1940;"NPD";;"Saarland";2;
"Kerstin";"Andreae";1968;"GRÜNE";281;"Baden-Württemberg";1;
"Michael";"Andrejewski";1959;"NPD";16;;;
"Volker";"Andresen";1945;"SPD";;"Schleswig-Holstein";22;
"Andrea";"Andromidas";1949;"BüSo";;"Hessen";8;
"Christian";"Angne";1945;"FDP";;"Rheinland-Pfalz";21;
"Winfried";"Anslinger";1951;"GRÜNE";299;"Saarland";5;
"Daniel Richard";"Ansorge";1988;"ödp";257;"Bayern";13;
"Kornelia";"Anspach-Papa";1961;"CDU";;"Saarland";9;
"Marta";"Aparicio de Eckelmann";1952;"DIE LINKE";258;"Baden-Württemberg";7;
"Rainer";"Apel";1948;"BüSo";182;"Hessen";10;
"Detlef";"Appel";1955;"NPD";;"Brandenburg";8;
"Johannes Peter";"Appelt";1943;"BüSo";;"Bayern";15;
"Ron";"Appelt";1988;"NPD";224;;;
"Corinna";"Appenrodt";1974;"SPD";;"Thüringen";9;
"Feryal";"Araz";1985;"MLPD";;"Nordrhein-Westfalen";7;
"Dirk";"Arendt";1976;"NPD";;"Mecklenburg-Vorpommern";5;
"Dörthe";"Armstroff";1958;"NPD";209;"Rheinland-Pfalz";1;
"Holger-Michael";"Arndt";1971;"GRÜNE";108;;;
"Ingrid";"Arndt-Brauer";1961;"SPD";125;"Nordrhein-Westfalen";10;
"Karin";"Arnold";1947;"RRP";246;;;
"Ludger";"Arnold";1954;"SPD";;"Hessen";42;
"Rainer";"Arnold";1950;"SPD";262;"Baden-Württemberg";10;
"Ludwig";"Artmeyer";1965;"GRÜNE";127;;;
"Christine";"Aschenberg-Dugnus";1959;"FDP";4;"Schleswig-Holstein";4;
"Helma";"Aßmann";1939;"BüSo";;"Brandenburg";3;
"Ferit";"Atan";1955;"MLPD";;"Baden-Württemberg";5;
"Artur Friedrich";"Auernhammer";1963;"CSU";;"Bayern";31;
"Elisabeth";"August";1950;"DIE LINKE";;"Nordrhein-Westfalen";21;
"Andreas";"Augustin";1979;"PIRATEN";;"Saarland";7;
"Reiner";"Aulenbacher";1957;"MLPD";296;"Saarland";1;
"Martin";"Aulila";1954;"BP";;"Bayern";12;
"Peter";"Aumer";1976;"CSU";233;;;
"Hüseyin Kenan";"Aydin";1962;"DIE LINKE";117;;;
"Armin";"Azima";1977;"BüSo";20;;;
"Klaus Hermann";"Baade";1936;"NPD";55;"Bremen";2;
"Safet";"Babic";1981;"NPD";204;"Rheinland-Pfalz";2;
"Thomas";"Bach";1961;"CDU";;"Hessen";24;
"Iris";"Bachmann";1947;"GRÜNE";;"Hessen";17;
"Sabrina";"Bacholke";1981;"Tierschutz";;"Berlin";4;
"Veronika";"Backes";1956;"CDU";;"Hessen";36;
"Jürgen";"Bader";1960;"MLPD";20;"Hamburg";2;
"Lisa";"Badum";1983;"GRÜNE";236;"Bayern";15;
"Dietrich Karl Ernst";"Baecker";1937;"PBC";;"Bremen";1;
"Manfred";"Bähr";1959;"FDP";71;"Sachsen-Anhalt";3;
